#    X        Y           F606W     F814W
#    ACS/WFC-pixel            ACS/WFC  
  1234.170  1900.714      27.754    25.334
  1220.089  1950.274      24.917    23.410
  1218.057  1966.250      25.794    24.276
  1222.907  1971.504      26.715    26.985
  1243.856  1096.325      22.730    21.210
  1244.383  1262.448      27.598    25.715
  1258.002  1398.245      26.715    25.397
  1254.517  1510.319      27.659    24.581
  1248.142  1630.042      23.840    22.378
  1259.728  1630.552      25.503    23.972
  1256.807  1680.853      26.773    25.027
  1241.861  1709.216      25.379    23.768
  1255.073  1717.068      27.031    26.324
  1263.058  1715.627      27.438    25.793
  1244.732  1748.446      27.136    25.574
  1246.022  1855.504      25.881    24.343
  1252.537  1853.288      27.233    25.934
  1241.584  1877.568      26.870    25.707
  1254.325  1985.693      27.687    27.500
  1266.650  1048.640      25.974    24.151
  1265.652  1198.541      24.094    22.596
  1264.851  1330.807      27.743    25.139
  1267.569  1322.741      26.646    25.154
  1274.132  1374.839      24.800    23.365
  1283.626  1371.882      25.359    23.921
  1283.121  1412.455      28.233    27.222
  1266.903  1424.288      27.800    25.863
  1263.050  1480.558      24.913    23.408
  1269.888  1483.057      26.756    24.948
  1264.393  1501.141      26.588    25.099
  1271.841  1552.519      26.855    24.801
  1263.214  1589.200      27.605    25.708
  1277.544  1592.061      26.775    25.628
  1273.139  1617.260      22.867    21.305
  1274.155  1651.232      23.664    22.199
  1273.237  1712.154      25.926    24.172
  1283.653  1760.943      27.274    25.789
  1282.997  1765.838      27.069    25.851
  1286.930  1878.780      26.753    24.524
  1274.449  1894.728      28.778    25.272
  1267.329  1935.536      24.613    23.198
  1265.359  1932.963      26.943    24.966
  1275.635  1951.749      26.650    24.904
  1290.205  1285.729      27.094    25.016
  1300.690  1284.938      27.097    25.637
  1306.264  1349.129      24.043    22.580
  1309.248  1377.521      26.883    24.863
  1303.313  1485.857      26.512    24.792
  1300.719  1567.809      27.477    26.155
  1290.257  1659.618      25.634    24.052
  1302.194  1672.599      25.287    23.685
  1307.884  1907.908      27.080    24.952
  1288.459  1934.932      26.558    24.925
  1305.332  1956.545      26.978    26.628
  1331.772  1088.472      22.792    21.221
  1328.966  1156.930      27.060    25.668
  1334.252  1217.146      25.238    23.696
  1314.033  1251.897      24.208    22.708
  1326.916  1288.652      28.633    25.873
  1334.552  1293.646      26.599    24.858
  1327.384  1421.392      24.759    23.224
  1316.720  1454.498      28.634    25.611
  1323.426  1494.930      25.668    24.045
  1318.191  1523.180      27.054    24.465
  1337.868  1578.500      25.184    23.635
  1338.033  1636.865      24.790    23.293
  1314.425  1653.055      26.345    24.473
  1327.478  1642.650      23.497    22.093
  1327.367  1705.187      26.506    25.352
  1314.061  1753.892      26.141    24.444
  1321.400  1918.035      25.483    23.822
  1321.366  1934.313      25.009    23.410
  1324.563  1948.292      25.554    23.984
  1323.053  1957.093      27.637    25.989
  1329.477  1971.747      25.854    24.406
  1347.309  1129.349      23.932    22.477
  1356.964  1165.279      25.191    23.597
  1340.654  1192.659      25.255    23.618
  1347.226  1263.872      27.410    25.653
  1357.945  1294.888      23.635    22.136
  1353.503  1440.405      25.347    23.735
  1358.872  1639.665      27.958    25.836
  1347.204  1672.156      25.862    24.581
  1356.828  1663.489      25.322    23.653
  1360.302  1686.254      25.202    23.771
  1346.118  1688.630      25.873    24.354
  1350.696  1757.725      18.441    16.599
  1362.776  1799.203      27.374    26.647
  1354.033  1855.712      26.234    24.621
  1358.225  1846.199      23.477    22.104
  1356.166  1892.595      27.910    25.798
  1358.545  1916.027      26.908    25.748
  1356.093  1958.403      26.955    26.652
  1381.898  1252.945      28.023    27.110
  1364.040  1266.884      26.792    25.236
  1371.586  1276.194      26.188    24.591
  1368.922  1350.305      25.277    24.024
  1386.203  1366.464      25.929    24.373
  1383.598  1428.599      25.457    24.035
  1386.863  1622.426      25.919    24.379
  1369.772  1638.084      25.637    24.179
  1369.040  1639.064      26.671    25.055
  1370.020  1718.047      26.210    24.706
  1382.254  1756.660      26.508    24.604
  1375.007  1832.711      27.568    26.444
  1368.451  1870.404      26.906    26.263
  1372.006  1891.120      25.270    23.732
  1376.115  1954.528      27.555    25.605
  1376.720  1946.954      27.081    25.286
  1374.562  1952.703      27.517    26.226
  1394.371  1075.891      24.245    22.782
  1393.136  1103.612      23.097    21.597
  1405.376  1198.347      24.783    23.234
  1402.758  1201.865      26.781    25.134
  1400.065  1254.139      27.093    25.782
  1401.710  1293.819      26.547    24.679
  1408.045  1310.713      25.339    23.585
  1388.897  1331.813      26.082    24.251
  1400.447  1319.064      27.524    25.707
  1391.512  1341.171      27.192    25.477
  1395.131  1356.302      26.707    27.173
  1405.864  1411.146      26.677    25.689
  1410.655  1436.825      28.597    26.183
  1400.043  1540.574      27.782    25.927
  1401.354  1646.349      28.144    26.543
  1404.231  1665.476      27.755    25.643
  1397.470  1693.210      25.808    23.981
  1392.727  1741.539      25.422    23.910
  1404.730  1759.555      26.463    25.763
  1389.528  1740.122      26.711    25.135
  1389.299  1770.431      26.036    24.444
  1397.842  1814.148      26.860    25.387
  1396.284  1876.978      27.988    26.063
  1400.663  1974.686      26.845    24.887
  1420.961  1059.492      28.289    24.939
  1433.248  1079.469      24.153    21.877
  1414.333  1091.128      26.775    30.823
  1415.457  1429.345      24.472    23.023
  1427.859  1438.217      28.208    25.788
  1420.245  1471.435      27.307    26.016
  1419.214  1534.017      25.281    23.710
  1424.785  1557.472      24.217    22.722
  1425.025  1551.952      26.724    24.945
  1413.628  1666.925      26.590    25.510
  1421.549  1721.696      25.928    24.184
  1428.093  1732.366      27.660    25.791
  1423.683  1757.841      18.807    17.077
  1426.155  1807.976      28.107    25.289
  1433.371  1834.344      26.503    25.760
  1436.268  1854.133      28.535    25.318
  1417.657  1898.668      25.968    24.436
  1429.084  1912.782      26.705    24.728
  1429.396  1903.468      27.093    25.991
  1434.341  1889.345      25.404    24.115
  1425.678  1984.420      27.028    25.241
  1442.657  1183.283      26.172    24.558
  1458.913  1238.075      28.407    25.683
  1449.850  1399.289      25.611    23.894
  1458.852  1389.590      27.774    25.701
  1450.289  1511.972      26.414    24.562
  1448.601  1576.547      26.163    24.525
  1451.481  1565.853      25.082    23.660
  1440.780  1608.268      26.378    24.641
  1443.637  1657.218      26.434    25.088
  1460.233  1645.374      27.639    25.739
  1439.282  1676.384      28.230    25.470
  1462.563  1700.822      24.219    22.765
  1461.925  1840.636      27.847    26.868
  1447.474  1906.146      25.762    24.418
  1449.425  1893.412      26.955    25.280
  1454.890  1890.801      26.824    24.896
  1461.065  1911.388      26.152    24.975
  1449.535  1985.495      24.910    23.435
  1465.561  1025.215      26.621    25.704
  1467.815  1051.873      26.342    24.267
  1473.099  1053.340      27.551    26.284
  1478.176  1066.711      26.727    27.017
  1485.220  1264.704      26.786    25.337
  1463.835  1310.739      27.444    25.153
  1471.108  1294.874      22.490    20.902
  1465.967  1346.382      23.769    22.337
  1483.235  1380.637      26.994    25.773
  1475.839  1505.189      25.474    24.001
  1477.841  1581.514      25.105    21.964
  1469.763  1606.748      25.731    24.355
  1469.786  1603.256      26.862    25.115
  1471.764  1668.903      24.012    22.547
  1485.625  1669.229      26.827    25.506
  1472.371  1713.140      28.155    25.976
  1467.896  1749.741      25.177    23.681
  1479.590  1756.764      25.045    23.550
  1475.967  1775.913      25.893    24.394
