#    X         Y         F606W       rms      N     F814W      rms       N        RA               DEC               flag  
#
  4194.259   484.514     27.5051    9.900     1     33.0021    9.900     1     43.92217307836    -54.14679330460        0
  4229.028   401.575     29.1851    1.170     2     28.9641    9.900     1     43.92299852079    -54.14794524556        0
  4237.702   403.315     27.9121    0.811     3     27.3241    0.942     2     43.92320417590    -54.14792107543        0
  4231.689   413.279     30.0071    0.583     2     33.0021    9.900     1     43.92306147287    -54.14778268593        1
  4220.122   444.263     30.1271    9.900     1     29.7211    9.900     1     43.92278681714    -54.14735234821        1
  4240.247   398.816     31.9451    2.255     2     33.0021    9.900     1     43.92326457871    -54.14798356188        0
  4255.822   419.898     33.1491    9.900     1     29.7401    0.732     2     43.92363362586    -54.14769074525        1
  4262.418   431.710     33.9021    9.900     1     33.0021    9.900     1     43.92378987897    -54.14752668423        1
  4241.849   471.289     29.1901    9.900     1     28.2871    9.900     1     43.92330166014    -54.14697697230        1
  4244.930   473.478     28.0701    1.443     2     29.6041    1.554     2     43.92337468732    -54.14694656787        0
  4263.448   482.531     30.5981    9.900     1     28.5501    9.900     1     43.92381365859    -54.14682082292        0
  4295.597   434.665     29.6321    9.900     1     29.6301    9.900     1     43.92457656908    -54.14748563031        1
  4296.732   423.822     32.8681    9.900     1     28.4971    9.900     1     43.92460362190    -54.14763623007        1
  4297.254   452.555     29.7431    9.900     1     28.4611    1.218     2     43.92461562793    -54.14723715269        0
  4310.360   466.403     31.4281    9.900     1     28.7911    0.870     2     43.92492620995    -54.14704481109        0
  4330.634   377.792     28.0051    0.335     4     27.5501    0.037     3     43.92540810315    -54.14827553636        1
  4314.615   435.291     33.9021    9.900     1     29.1771    9.900     1     43.92502750830    -54.14747692914        1
  4358.197   421.718     29.7441    9.900     1     29.2801    3.332     2     43.92606108951    -54.14766543165        0
  4343.146   461.100     29.2231    9.900     1     27.6431    9.900     1     43.92570368100    -54.14711845398        0
  4344.480   450.801     29.7781    0.140     2     24.0241    9.900     1     43.92573544902    -54.14726149797        0
  4344.672   468.906     31.7121    9.900     1     29.5431    9.900     1     43.92573976073    -54.14701003468        1
  4367.980   380.666     27.0271    0.356     2     26.0961    0.275     4     43.92629361505    -54.14823560603        0
  4374.440   385.792     29.3271    9.900     1     29.1041    9.900     1     43.92644672540    -54.14816440797        1
  4372.593   461.084     30.1481    9.900     1     29.0141    9.900     1     43.92640191079    -54.14711866605        1
  4384.151   456.879     29.5821    9.900     1     28.9611    4.106     2     43.92667602442    -54.14717706597        0
  4404.097   391.306     28.9171    1.289     2     28.9231    9.900     1     43.92714987616    -54.14808781291        1
  4425.110   408.618     33.9021    9.900     1     28.3011    9.900     1     43.92764789403    -54.14784735654        0
  4420.186   433.009     33.9021    9.900     1     29.8971    0.219     2     43.92753079785    -54.14750858776        0
  4432.603   450.536     25.6641    0.053     2     25.0651    0.028     2     43.92782497960    -54.14726514818        1
  4453.534   381.769     25.2681    0.286     4     24.4801    0.180     2     43.92832225921    -54.14822025676        0
  4457.650   458.124     33.9021    9.900     1     31.7461    9.900     1     43.92841877334    -54.14715974860        1
  4439.354   482.886     29.3321    9.900     1     29.1301    9.900     1     43.92798460103    -54.14681583156        1
  4467.109   364.505     29.2421    9.900     1     28.2121    3.622     2     43.92864439656    -54.14846003452        1
  4482.083   476.830     32.7661    9.900     1     28.6501    0.197     2     43.92899784521    -54.14689992956        1
  4509.703   373.543     30.2301    9.900     1     29.3491    9.900     1     43.92965426050    -54.14833448960        0
  4489.414   400.250     33.9021    9.900     1     33.0021    9.900     1     43.92917277967    -54.14796355883        1
  4501.121   420.031     30.1421    9.900     1     27.9431    2.120     3     43.92945008687    -54.14768881333        1
  4499.209   470.773     26.3931    9.900     1     26.0831    0.051     3     43.92940401252    -54.14698405028        1
  4521.630   369.381     33.9021    9.900     1     28.6091    1.400     2     43.92993713591    -54.14839229216        0
  4532.660   403.456     30.7561    1.193     2     33.0021    9.900     1     43.93019817633    -54.14791901526        0
